Wall time,Step,Value
1705279240.836992,5,4.880574703216553
1705279250.36486,6,4.7945990562438965
1705279285.98453,10,4.477506637573242
1705279295.762202,11,4.480162143707275
1705280461.966434,13,4.339338779449463
1705280470.564931,14,4.186517715454102
1705280479.019046,15,4.206429481506348
1705280487.528218,16,4.107409954071045
1705280496.053255,17,4.06471586227417
1705280504.544768,18,3.9686119556427
1705280513.063789,19,3.929589033126831
1705280521.557592,20,3.7642946243286133
1705280555.93241,24,3.5296385288238525
1705280564.4665,25,3.367208242416382
1705280632.993933,33,2.2700815200805664
1705280641.722975,34,2.045191764831543
1705280658.882506,36,2.333369493484497
1705280686.211762,39,1.5832685232162476
1705280695.502366,40,1.469426155090332
1705280714.871201,42,1.2876079082489014
1705280724.360799,43,1.2430016994476318
1705280733.780252,44,1.2557998895645142
1705280743.294408,45,1.1193645000457764
1705280762.173996,47,0.7914559245109558
1705280780.505888,49,0.6727655529975891
1705280789.392205,50,0.8043437600135803
1705280815.370796,53,0.5513023138046265
1705280824.057936,54,0.6292957663536072
1705280832.945986,55,0.8424599170684814
1705280841.954308,56,0.5299373269081116
1705280850.79247,57,0.4336627423763275
1705280877.408663,60,0.5148360133171082
1705280886.096793,61,0.4610480070114136
1705280903.467301,63,0.3060931861400604
1705280920.78518,65,0.30527302622795105
1705280929.531531,66,0.30080661177635193
1705280938.21065,67,0.23764841258525848
1705280946.858195,68,0.1848306506872177
1705280972.753585,71,0.5016368627548218
1705280981.465659,72,0.3000757396221161
1705280990.064345,73,0.24150165915489197
1705280998.697655,74,0.15750394761562347
1705281015.930099,76,0.21658296883106232
1705281041.854818,79,0.2429344356060028
1705281084.998828,84,0.2676089107990265
1705281093.586743,85,0.2985992729663849
1705281102.260884,86,0.14214758574962616
1705281110.92316,87,0.1307014524936676
1705281119.536403,88,0.17794254422187805
1705281128.143011,89,0.1440012902021408
1705281171.360142,94,0.07205229252576828
1705281242.047974,102,0.08210834860801697
1705281259.228681,104,0.47414010763168335
1705281267.916416,105,0.27932512760162354
1705281277.559082,106,0.11338584125041962
1705281348.116755,113,0.5370432734489441
1705281379.211093,116,0.034863173961639404
1705281397.572036,118,0.08702356368303299
1705281406.582913,119,0.20073148608207703
1705281415.687597,120,0.1944883167743683
1705281451.892788,124,0.2238139808177948
1705281460.988711,125,0.05081945285201073
1705281470.340812,126,0.11986983567476273
1705281498.331547,129,0.0737772136926651
1705281507.493296,130,0.2497396171092987
1705281534.998825,133,0.06378680467605591
1705281571.68757,137,0.054644420742988586
1705281589.6945,139,0.15385010838508606
1705281607.73197,141,0.13695412874221802
1705281616.806314,142,0.08790560811758041
1705281626.007054,143,0.18881921470165253
1705281635.179003,144,0.1650172770023346
1705281653.724118,146,0.0409453809261322
1705281672.276579,148,0.16896873712539673
1705281691.046202,150,0.09502242505550385
1705281718.799143,153,0.07543666660785675
1705281728.382581,154,0.14377205073833466
1705281737.761642,155,0.05911014601588249
1705281756.840175,157,0.024583816528320312
1705281766.367159,158,0.06570061296224594
1705281775.92676,159,0.29265737533569336
1705281804.507607,162,0.043733611702919006
1705281822.976776,164,0.06110566109418869
1705281832.179098,165,0.15333102643489838
1705281850.612273,167,0.06300298124551773
1705281859.989639,168,0.04162566736340523
1705281887.756116,171,0.07878341525793076
1705281924.817123,175,0.29855069518089294
1705281934.06488,176,0.08642003685235977
1705281943.246674,177,0.02244003489613533
1705281952.43328,178,0.040182698518037796
1705281970.833589,180,0.02903231419622898
1705281980.014307,181,0.026293497532606125
1705281998.596846,183,0.03294311463832855
1705282017.020729,185,0.03351489081978798
1705282026.141019,186,0.1085091382265091
1705282035.369624,187,0.16788607835769653
1705282044.654169,188,0.0761445090174675
1705282063.232079,190,0.10219070315361023
1705282072.707858,191,0.10706213116645813
1705282138.958493,198,0.010516714304685593
1705282176.815131,202,0.049152921885252
1705282214.845678,206,0.08987066894769669
1705282224.458486,207,0.04773823171854019
1705282233.925602,208,0.015202218666672707
1705282272.251591,212,0.028560679405927658
1705282281.639065,213,0.04973146319389343
1705282291.169935,214,0.18074162304401398
1705282300.742909,215,0.15714377164840698
1705282329.327384,218,0.016437318176031113
1705282339.022796,219,0.012417041696608067
1705282367.704849,222,0.046954087913036346
1705282377.264728,223,0.1082519069314003
1705282396.19179,225,0.20439989864826202
1705282405.698327,226,0.151149183511734
1705282415.240042,227,0.09939518570899963
1705282434.336101,229,0.007591065485030413
1705282443.846489,230,0.005816988181322813
1705282453.393879,231,0.10360714048147202
1705282462.945884,232,0.11417040228843689
1705282472.679146,233,0.0366179496049881
1705282482.436362,234,0.026219835504889488
1705282511.162384,237,0.04548274725675583
1705282520.695241,238,0.023863906040787697
1705282539.329594,240,0.01574651710689068
1705282575.904309,244,0.06697079539299011
1705282585.199981,245,0.3125689625740051
1705282603.700088,247,0.04576977342367172
1705282622.220328,249,0.08403048664331436
1705282631.604992,250,0.011470095254480839
1705283468.172278,2,5.113858222961426
1705283495.195899,5,4.765284061431885
1705283504.613965,6,5.0020751953125
1705283513.670556,7,5.0502214431762695
1705283522.628741,8,4.613364219665527
1705283540.706668,10,4.647465229034424
1705283577.01756,14,4.323814868927002
1705283595.407618,16,4.283091068267822
1705283613.688809,18,4.251607418060303
1705283631.874512,20,4.1960649490356445
